,iyear,imonth,iday,country_txt,city,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,motive
1421,2015,10,18,Libya,Ajdabiya,1,Assassination,Military,Libya,Barqa Province of the Islamic State,Barqa Province of the Islamic State claimed responsibility for the incident and stated that Colonel Ataya Al-Arabi was targeted because the group believed he was an apostate.
1422,2015,11,12,Libya,Brega,1,Hostage Taking (Kidnapping),Military,Libya,Barqa Province of the Islamic State,Barqa Province of the Islamic State claimed responsibility for the incident and stated that the attack was carried out in retaliation for airstrikes near Derna.
1423,2015,1,5,Libya,Tubruq,1,Unknown,Military,Libya,Barqa Province of the Islamic State,Barqa Province of the Islamic State claimed responsibility for the incident and stated that they believed the targeted civilian was un-Islamic.
1424,2014,9,28,Spain,Bilbao,1,Bombing/Explosion,Transportation,Spain,Basque Separatists,"Basque separatists claimed responsibility for the incident and stated that the attack was carried out in remembrance of the ""Day of the Basque Soldier"" and in solidarity with Basque Fatherland and Freedom (ETA) prisoners."
1425,2011,3,2,Germany,Frankfurt,1,Armed Assault,Military,United States,Jihadi-inspired extremists,"Before shooting the airmen, Uka asked if they were bound for Afghanistan and was told that they were. He reportedly shouted 'Allahu akbar' during the attack and claimed afterward that he was contributing to holy war. Uka was reportedly radicalized to use violence after watching jihadist propaganda videos online in the days before the attack, though he has since expressed regret for his actions."
1426,1999,12,13,Kosovo,Kosovska Mitrovica,1,Bombing/Explosion,Government (General),Serbia-Montenegro,Beli Orlovi (White Eagles),Beli Orlovi claimed to have conducted the attack because the Serb National Council was unable to protect Kosovo-Serb citizens.
1427,2006,4,9,Austria,Vienna,1,Facility/Infrastructure Attack,Private Citizens & Property,Austria,Unknown,Believed to be an action of Islamophobia
1428,2008,12,27,Sri Lanka,Wattala,1,Bombing/Explosion,Military,Sri Lanka,Liberation Tigers of Tamil Eelam (LTTE),"Believed to be that the perpetrator was aware of the large crowds including many officers of the CDF that would be patrolling the area during the festival, and especially because  the officers are stationed there to patrol the road leading to the airport."
1429,2008,1,1,Nigeria,Port Harcourt,1,Armed Assault,Police,Nigeria,Niger Delta Vigilante (NDV),Believed to have been a response to strikes by the Nigerian military on the headquarters of the Niger Delta Vigilante in the town of Okrika.
1430,2014,3,8,Nigeria,Enugu,1,Armed Assault,Government (General),Nigeria,Biafra Zionist Movement (BZM),"Benjamin Onwuka, the leader of the Biafra Zionist Movement (BZM), claimed responsibility and stated that the Enugu Government House was attacked so that the group could raise the Republic of Biafra flag and other banners. Onwuka also explained that the location was targeted because it was originally the headquarters of the Biafran Republic."
1431,1984,6,18,United States,Denver,1,Assassination,Journalists & Media,United States,The Order (Silent Brotherhood),"Berg was known for his largely liberal opinions on a variety of controversial issues, and was a stark opponent of racism and anti-Semitism.  He had a slightly combative and blunt style that insulted many conservatives as well as the callers and guests on his show.   On one of his shows, Berg humiliated Klansman and member of The Aryan Nation, David Lane, who was eventually one of his murderers, by calling him a ""sick and pathetic human being."" Berg also berated other media figures on his show, such as the publisher of a paper which ran an anti-Jewish series, the writer of which, shared an apartment with Lane for a short time.  Also, Berg was Jewish, and the group wanted to eliminate Jews."
1432,2002,3,19,Italy,Bologna,1,Assassination,Private Citizens & Property,Italy,Red Brigades Fighting Communist Union (BR-UCC),Biagi was working on controversial changes to loosen Italy�s labor laws. The Red Brigades classified the shooting as a success against what they saw as �imperialism� on the part of Biagi.
1433,2002,3,30,India,Jammu,1,Bombing/Explosion,Religious Figures/Institutions,India,Islamic Front,"Bilal Beg, who claimed to have been the Islamic Front's leader, stated that the attack was in retaliation to the violence against Muslims in India."
1434,2008,6,16,Chad,Biltine,0,Unknown,Private Citizens & Property,Chad,National Alliance (Chad),"Biltine is the third town to be taken by the National Alliance rebels in their advance on the Chadian capital, Ndjamena."
1435,2008,6,25,Philippines,Paquibato district,1,Armed Assault,Private Citizens & Property,Philippines,Unknown,Binggan had aided soldiers in the past in anti-insurgency campaign in his village and police believed this to be the motive behind the attack.
1436,2012,12,3,Nepal,Banepa,1,Bombing/Explosion,Business,Nepal,Biswabhumi Sena Bishal Nepal,"Biswabhumi Sena Bishal-Nepal left pamphlets at the scene, stating that the government must take action against corruption and traitors. Moreover, the group condemned the government practice of dividing the country in the name of democracy."
1437,2000,9,2,Greece,Athens,1,Facility/Infrastructure Attack,Business,Multinational,Black Star,"Black Star claimed responsibility, stating the attack was to support an imprisoned Black Star member."
1438,2000,9,6,Greece,Athens,1,Bombing/Explosion,Government (General),Greece,Black Star,"Black Star claimed responsibility, stating the attack was to support an imprisoned Black Star member."
1439,2000,9,6,Greece,Athens,1,Facility/Infrastructure Attack,Government (General),Greece,Black Star,"Black Star claimed responsibility, stating the attack was to support an imprisoned Black Star member."
1440,2012,2,23,Nigeria,Maiduguri,1,Hostage Taking (Barricade Incident),Educational Institution,Nigeria,Boko Haram,Boko Haram asserted that the attack was in response to raids on Koranic schools and security forces arresting local clerics.
1441,2012,2,26,Nigeria,Jos,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that the attack was carried out to avenge Muslims who were killed and dehumanized in Jos city over the past decade.
1442,2012,2,11,Nigeria,Unknown,1,Armed Assault,Private Citizens & Property,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that the victims were government informants and had leaked information about Boko Haram.
1443,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1444,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1445,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1446,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1447,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1448,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1449,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1450,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1451,2012,9,5,Nigeria,Gombe,1,Bombing/Explosion,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1452,2012,9,5,Nigeria,Game,1,Bombing/Explosion,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1453,2012,9,5,Nigeria,Kano,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1454,2012,9,5,Nigeria,Kano,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1455,2012,9,5,Nigeria,Saban Layi,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1456,2012,9,5,Nigeria,Wuro Patuji,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1457,2012,9,5,Nigeria,Kolere,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1458,2012,9,5,Nigeria,Unknown,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1459,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1460,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1461,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1462,2012,9,5,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1463,2012,9,5,Nigeria,Unknown,0,Bombing/Explosion,Telecommunication,Nigeria,Boko Haram,Boko Haram claimed responsibility and stated that they attacked the cell phone towers because they suspected that telecom providers were helping authorities investigate Boko Haram's organization.
1464,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1465,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1466,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1467,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1468,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1469,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1470,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1471,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1472,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1473,2011,11,4,Nigeria,Damaturu,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for all attacks, stating that more attacks were coming in their campaign to impose sharia law across Nigeria"
1474,2012,3,1,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Educational Institution,Nigeria,Boko Haram,"Boko Haram claimed responsibility for burning down Success Private Secondary School, indicating that it was because of recent attacks against local Islamic schools."
1475,2012,3,1,Nigeria,Maiduguri,1,Facility/Infrastructure Attack,Educational Institution,Nigeria,Boko Haram,"Boko Haram claimed responsibility for burning Sunshine Private School, indicating that it was revenge for recent attacks against local Islamic schools."
1476,2013,3,3,Nigeria,Monguno,1,Armed Assault,Military,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack in a video, stating that more violence would follow to avenge the death and arrests of its members."
1477,2012,1,4,Nigeria,Maiduguri,1,Bombing/Explosion,Private Citizens & Property,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack, stating that it was carried out because the victims did not heed their warning for Christians to leave northern areas of Nigeria."
1478,2012,1,4,Nigeria,Damaturu,1,Bombing/Explosion,Business,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack, stating that it was carried out because the victims did not heed their warning for Christians to leave northern areas of Nigeria."
1479,2012,6,17,Nigeria,Zaria,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack, stating that the group targeted Christians because they were destroying mosques and turning others into beer parlors and prostitution joints."
1480,2012,6,17,Nigeria,Zaria,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack, stating that the group targeted Christians because they were destroying mosques and turning others into beer parlors and prostitution joints."
1481,2012,6,17,Nigeria,Zaria,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attack, stating that the group targeted Christians because they were destroying mosques and turning others into beer parlors and prostitution joints."
1482,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Government (General),Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1483,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1484,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Government (General),Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1485,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Government (General),Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1486,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1487,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1488,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1489,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Private Citizens & Property,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the attacks, stating that they were in revenge for police arrests and murders of Boko Haram members."
1490,2012,1,20,Nigeria,Kano,1,Armed Assault,Police,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1491,2012,1,20,Nigeria,Hotoro,0,Bombing/Explosion,Business,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1492,2012,1,20,Nigeria,Tula,0,Bombing/Explosion,Unknown,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1493,2012,1,22,Nigeria,Kano,0,Bombing/Explosion,Unknown,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1494,2012,1,20,Nigeria,Kano,0,Bombing/Explosion,Unknown,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1495,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Educational Institution,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1496,2012,1,20,Nigeria,Kano,1,Bombing/Explosion,Police,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1497,2012,1,20,Nigeria,Kano,1,Armed Assault,Journalists & Media,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was carried out because the government failed to release Boko Haram detainees.
1498,2015,11,27,Nigeria,Dakasoye,1,Bombing/Explosion,Private Citizens & Property,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the attack was part of a larger campaign targeting members of the Shiite community.
1499,2013,9,17,Nigeria,Beni Shiek,1,Armed Assault,Private Citizens & Property,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that the group would not allow democracy to thrive. Sources also speculated that the attack may have been carried out in revenge against residents in the area who had formed vigilante groups to assist the military with operations against Boko Haram.
1500,2014,4,14,Nigeria,Chibok,1,Hostage Taking (Kidnapping),Educational Institution,Nigeria,Boko Haram,Boko Haram claimed responsibility for the incident and stated that they were planning to sell the captives.
1501,2015,2,14,Nigeria,Hinna,1,Armed Assault,Government (General),Nigeria,Boko Haram,"Boko Haram claimed responsibility for the incident and warned civilians against participating in Nigeria's general election. Sources noted that the attack was part of a larger trend of violence related to Nigeria's general election, scheduled for March 28 and April 11, 2015."
1502,2015,2,14,Nigeria,Dadin Kowa,1,Bombing/Explosion,Private Citizens & Property,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the incident and warned civilians against participating in Nigeria's general election. Sources noted that the attack was part of a larger trend of violence related to Nigeria's general election, scheduled for March 28 and April 11, 2015."
1503,2015,2,14,Nigeria,Zambuk,1,Armed Assault,Private Citizens & Property,Nigeria,Boko Haram,"Boko Haram claimed responsibility for the incident and warned civilians against participating in Nigeria's general election. Sources noted that the attack was part of a larger trend of violence related to Nigeria's general election, scheduled for March 28 and April 11, 2015."
1504,2015,2,14,Nigeria,Gombe,1,Armed Assault,Government (General),Nigeria,Boko Haram,"Boko Haram claimed responsibility for the incident and warned civilians against participating in Nigeria's general election. Sources noted that the attack was part of a larger trend of violence related to Nigeria's general election, scheduled for March 28 and April 11, 2015."
1505,2012,2,22,Nigeria,Maiduguri,1,Hostage Taking (Barricade Incident),Educational Institution,Nigeria,Boko Haram,"Boko Haram claimed that the attack was in response to soldiers raiding an Islamic seminary, Koranic school students being indiscriminately arrested, and desecration of the Koran."
1506,2012,2,21,Nigeria,Ali Kotoko,1,Facility/Infrastructure Attack,Educational Institution,Nigeria,Boko Haram,Boko Haram claimed that this attack was part of a response to security forces arresting local clerics and attacks on Quranic schools.
1507,2013,2,19,Cameroon,Dabanga,1,Hostage Taking (Kidnapping),Tourists,France,Boko Haram,Boko Haram demanded that imprisoned Islamic militants be released from Nigeria and Cameroon in return for the safe release of the hostages.
1508,1982,9,8,United States,Chicago,1,Bombing/Explosion,Business,United States,Omega-7,Bookstore was selling communist literature.
1509,2009,11,5,India,Bali Chapori,1,Armed Assault,Terrorists/Non-State Militia,India,United Liberation Front of Assam (ULFA),Bora was suspected of being a police informer.
1510,2013,6,21,United Kingdom,Bristol,1,Armed Assault,Police,Great Britain,Borderless Solidarity Cell (BSC),"Borderless Solidarity Cell (BSC) claimed responsibility for the incident in an online statement, saying that the group targeted the United Kingdom (UK) Border Agency vehicles because of the vehicles were used in dawn raids on immigrant families and because of the agency's role in restricting free movement."
1511,2015,3,17,Pakistan,Mathra,1,Assassination,Business,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Both Jundallah and Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the victim working as a lawyer for the man who helped the United States Central Intelligence Agency locate Osama bin Laden's compound.
1512,2012,2,27,Nepal,Kathmandu,1,Armed Assault,Business,Nepal,Samyukta Jatiya Mukti Morcha (SJMM),"Both the groups who claimed responsibility for the attack asserted that it was in response to a recently-announced increase in gas prices. Furthermore, authorities explained that ethnic groups from the southern part of the country, some of whom have threatened violence, have demanded more autonomy in their respective regions."
1513,2014,11,25,United Kingdom,Long Ashton,1,Facility/Infrastructure Attack,Business,Great Britain,Informal Anarchist Federation,"Both the Informal Anarchist Federation and Earth Liberation Front (ELF) claimed responsibility for the incident and stated that the attack was carried out in retaliation to the death of Remi Fraisse, an environmentalist, as well as continuous industrialization."
1514,2013,3,10,Greece,Athens,1,Facility/Infrastructure Attack,Business,Greece,Informal Anarchist Federation,"Both the Informal Anarchist Federation and the International Revolutionary Front-Intact Revolutionary Cell claimed responsibility for the attack, stating that it was punishing the courier firm's employees for helping the Greek government capture their members."
1515,1999,8,7,United States,Escanaba,1,Facility/Infrastructure Attack,Maritime,United States,Earth Liberation Front (ELF),Boydston used to raise minks and be a spokesman for mink ranchers.
1516,1978,11,22,United States,Glendale,1,Assassination,Private Citizens & Property,United States,Otpor,"Brkic was sent a letter demanding he contribute money to the Croatian nationalist cause, similar to the assassination case of Anthony Cikoja and the bombing of the shop of an American of Croatian descent."
1517,2007,11,6,Thailand,Rusoh,1,Armed Assault,Educational Institution,Thailand,Unknown,Buddhist Educators have often been targets of militants in the South of Thailand
1518,2007,1,31,Afghanistan,Khurwar,1,Facility/Infrastructure Attack,Educational Institution,Afghanistan,Taliban,Burning down religious institutions.
1519,2001,6,28,Burundi,Bubanza,1,Armed Assault,Transportation,Burundi,Party for the Liberation of the Hutu People (PALIPEHUTU),"Burundian rebel groups stepped up ambushes along main roads as part of a ""psychological warfare"" strategy in a bid to disrupt trade between the capital and the provinces."
1520,2001,6,26,Burundi,Isale,1,Armed Assault,Government (General),Burundi,Party for the Liberation of the Hutu People (PALIPEHUTU),"Burundian rebel groups stepped up ambushes along main roads as part of a ""psychological warfare"" strategy meant to disrupt trade between the capital and the provinces."
1521,2010,3,1,Nepal,Dhanusa district,1,Armed Assault,Journalists & Media,Nepal,Terai Janatantrik Madhes Party,"Callers to local media said Singhaniya, had been killed for defaming the Madhes protest through his media."
1522,2000,12,15,Colombia,Bogota,0,Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,United Self Defense Units of Colombia (AUC),"Carlos Castano, commander of the United Self Defense Units of Colombia (AUC), accused Borja of being a member of the National Liberation Army (ELN).  As such, Castano sees Borja as an ""actor in the conflict"" and a ""military objective""."
1523,2016,3,8,Uruguay,Paysandu,1,Armed Assault,Private Citizens & Property,Uruguay,Anti-Semitic extremists,"Carlos Peralta, an unaffiliated individual, claimed responsibility for the incident and stated that ""Allah told him to find a Jew and kill him."""
1524,2013,12,29,Russia,Volgograd,1,Bombing/Explosion,Transportation,Russia,Caucasus Emirate,Caucasus Emirate claimed responsibility for the attack and stated that it was a warning ahead of the Winter Olympics in Sochi and in retaliation for the killing of Muslims around the world.
1525,2013,12,30,Russia,Volgograd,1,Bombing/Explosion,Transportation,Russia,Caucasus Emirate,Caucasus Emirate claimed responsibility for the attack and stated that it was a warning ahead of the Winter Olympics in Sochi and in retaliation for the killing of Muslims around the world.
1526,2012,8,19,Russia,Sagopshi,1,Bombing/Explosion,Police,Russia,Caucasus Emirate,"Caucasus Emirate claimed responsibility for the attack in an online statement, stating that the bomber was targeting Malgobek municipal police chief Mukhazhir Yeloyev.  However, Yeloyev was not present at the funeral."
1527,2013,5,20,Russia,Makhachkala,1,Bombing/Explosion,Government (General),Russia,Caucasus Emirate,"Caucasus Emirate claimed responsibility in an online video and stated that they attack was in response to ""lawlessness"" by non-Muslims in Dagestan."
1528,2013,5,20,Russia,Makhachkala,1,Bombing/Explosion,Government (General),Russia,Caucasus Emirate,"Caucasus Emirate claimed responsibility in an online video and stated that they attack was in response to ""lawlessness"" by non-Muslims in Dagestan."
1529,2016,8,30,Venezuela,Caracas,1,Bombing/Explosion,Journalists & Media,Venezuela,Chama Pueblo en Rebelion,Chama Pueblo en Rebelion claimed responsibility for the incident and alleged that El National newspaper opposed the government.
1530,2007,6,23,Nepal,Rajbiraj,1,Armed Assault,Violent Political Party,Nepal,Janatantrik Terai Mukti Morcha- Goit (JTMM-G),Chaudhary was allegedly killed for acting as an informant against JTMM-G
1531,1999,12,9,Russia,Gekhi,1,Armed Assault,Private Citizens & Property,Russia,Chechen Rebels,Chechen militants accused the victims of collaboration.
1532,2000,8,20,Russia,Grozny,1,Facility/Infrastructure Attack,Government (General),Russia,Chechen Rebels,Chechen rebel fighters wanted to disrupt the elections.
1533,2000,8,20,Russia,Serzhen-Yurt,1,Facility/Infrastructure Attack,Government (General),Russia,Chechen Rebels,Chechen rebel fighters wanted to disrupt the elections.
1534,2000,8,20,Russia,Urus-Martan,0,Bombing/Explosion,Government (General),Russia,Chechen Rebels,Chechen rebel fighters wanted to disrupt the elections.
1535,2001,8,13,Russia,Vedensky (District),1,Facility/Infrastructure Attack,Police,Russia,Chechen Rebels,Chechen rebels were reportedly taking reprisal measures for an anti-rebel operation with strikes on administrative buildings.
1536,2004,3,19,Taiwan,Tainan,0,Assassination,Government (General),Taiwan,Unknown,Chen Yi-Hsun blamed Chen for financial difficulties as he was unemployed.
1537,2016,1,2,United States,Princeton,1,Facility/Infrastructure Attack,Government (General),United States,Citizens for Constitutional Freedom,"Citizens for Constitutional Freedom claimed responsibility for the incident and demanded that federal grounds be returned to the ranchers of Harney County. The group also stated that the occupation was carried out in protest to the five year sentence of Dwight and Steven Hammond, two ranchers convicted of arson of federal land."
1538,2010,5,8,Philippines,Zamboanga City,1,Bombing/Explosion,Private Citizens & Property,Philippines,Unknown,Claimed to be setting-off bombs to get the attention of the government to investigate the alleged anomalies at the Office of Muslim Affairs (OMA).
1539,2013,6,15,Iraq,Baghdad,1,Bombing/Explosion,Other,Iran,Mukhtar Army,"Cleric Wathiq al-Batat, leader of the Mukhtar Army, claimed responsibility for the incident and demanded that the inhabitants of Camp Liberty, members of the group Mujahedeen-e Khalq (MEK), leave Iraq within ten days or face further attacks."
1540,2007,3,18,Pakistan,Peshawar,1,Bombing/Explosion,Business,Pakistan,Taliban (Pakistan),Close down music stores that are 'Un-Islamic'
1541,2008,9,1,Colombia,Cali,1,Bombing/Explosion,Government (General),Colombia,Revolutionary Armed Forces of Colombia (FARC),"Colombian daily El Tiempo reported in its online edition that FARC recently circulated news saying attacks were to escalate in retaliation to increasing military operations and Operation Jaque, which in July led to the liberation of top FARC hostage Ingrid Betancourt and 15 others."
1542,2003,3,5,Colombia,El Carmen de Bolivar,1,Bombing/Explosion,Military,Colombia,Revolutionary Armed Forces of Colombia (FARC),Colombian President Alvaro Uribe said the attack was retaliation for a government spraying campaign to eradicate coca fields in areas under rebel control.
1543,2010,5,20,Philippines,Santo Nino,1,Facility/Infrastructure Attack,Business,Philippines,New People's Army (NPA),"Colonel Leoncio Cirunay, commander of the 22nd Infantry Battalion, which administers the militiamen in the Bicol region, received information that the rebels burned the construction equipment of Sunwest Development Corporation simply because it was owned by Zaldy Co, a businessman who is identified with the Ako Bicol partylist."
1544,2016,7,19,France,Maureilhan,1,Facility/Infrastructure Attack,Business,France,Comite d'Action Viticole,Comite d'Action Viticole claimed responsibility for the incident and stated that the attack was carried out in opposition to imported cheap wine.
